Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch-1716878396685,1,243,243,243,243,243,243,243,0.000%,4.11523,28.03,1.85
Launch-1716878396853,1,496,496,496,496,496,496,496,0.000%,2.01613,1.54,0.90
Launch-1716878396856,1,710,710,710,710,710,710,710,0.000%,1.40845,4.63,0.66
Launch-1716878396930,1,244,244,244,244,244,244,244,0.000%,4.09836,6.28,4.20
Launch-1716878397095,1,810,810,810,810,810,810,810,0.000%,1.23457,77.52,0.55
Launch-1716878397118,1,261,261,261,261,261,261,261,0.000%,3.83142,4.47,1.67
Launch-1716878397140,1,285,285,285,285,285,285,285,0.000%,3.50877,3.31,1.52
Launch-1716878397358,2,529,239,819,819,819,239,819,0.000%,2.44200,275.13,1.02
Launch-1716878397385,1,245,245,245,245,245,245,245,0.000%,4.08163,10.77,1.63
Launch-1716878397405,1,473,473,473,473,473,473,473,0.000%,2.11416,10.83,0.90
Launch-1716878397679,1,320,320,320,320,320,320,320,0.000%,3.12500,21.28,1.41
Launch-1716878397687,1,328,328,328,328,328,328,328,0.000%,3.04878,143.69,1.35
Launch-1716878397893,1,487,487,487,487,487,487,487,0.000%,2.05339,1.57,0.91
Launch-1716878397913,1,818,818,818,818,818,818,818,0.000%,1.22249,273.82,0.54
Launch-1716878397928,1,248,248,248,248,248,248,248,0.000%,4.03226,6.18,4.13
Launch-1716878397947,1,261,261,261,261,261,261,261,0.000%,3.83142,344.79,1.69
Launch-1716878398135,1,241,241,241,241,241,241,241,0.000%,4.14938,3.91,1.80
Launch-1716878398152,1,238,238,238,238,238,238,238,0.000%,4.20168,198.03,1.87
Launch-1716878398226,1,839,839,839,839,839,839,839,0.000%,1.19190,74.84,0.53
Launch-1716878398237,1,289,289,289,289,289,289,289,0.000%,3.46021,204.55,1.55
Launch-1716878398383,1,455,455,455,455,455,455,455,0.000%,2.19780,11.25,0.93
Launch-1716878398411,1,275,275,275,275,275,275,275,0.000%,3.63636,9.60,1.46
Launch-1716878398437,1,285,285,285,285,285,285,285,0.000%,3.50877,315.70,1.55
Login-1716878398508,1,270,270,270,270,270,270,270,0.000%,3.70370,4.20,4.00
Launch-1716878398695,1,256,256,256,256,256,256,256,0.000%,3.90625,230.95,1.75
Login-1716878398798,1,288,288,288,288,288,288,288,0.000%,3.47222,5.25,3.76
Launch-1716878398872,1,487,487,487,487,487,487,487,0.000%,2.05339,1.57,0.91
Login-1716878398965,1,269,269,269,269,269,269,269,0.000%,3.71747,4.21,4.02
Launch-1716878398967,1,739,739,739,739,739,739,739,0.000%,1.35318,303.08,0.60
Launch-1716878399206,1,334,334,334,334,334,334,334,0.000%,2.99401,2.82,1.30
Launch-1716878399211,1,798,798,798,798,798,798,798,0.000%,1.25313,78.70,0.56
Launch-1716878399264,1,295,295,295,295,295,295,295,0.000%,3.38983,159.77,1.51
Login-1716878399280,1,313,313,313,313,313,313,313,0.000%,3.19489,4.83,3.46
Launch-1716878399450,1,242,242,242,242,242,242,242,0.000%,4.13223,10.90,1.65
Launch-1716878399557,1,292,292,292,292,292,292,292,0.000%,3.42466,308.16,1.51
Launch-1716878399810,1,251,251,251,251,251,251,251,0.000%,3.98406,235.55,1.78
Launch-1716878399979,1,768,768,768,768,768,768,768,0.000%,1.30208,291.57,0.58
Login-1716878400100,1,289,289,289,289,289,289,289,0.000%,3.46021,3.92,3.74
Launch-1716878400231,1,251,251,251,251,251,251,251,0.000%,3.98406,187.74,1.77
Launch-1716878400257,1,805,805,805,805,805,805,805,0.000%,1.24224,78.00,0.55
Login-1716878400423,1,318,318,318,318,318,318,318,0.000%,3.14465,4.75,3.40
Launch-1716878400645,1,412,412,412,412,412,412,412,0.000%,2.42718,218.42,1.07
Launch-1716878400948,1,301,301,301,301,301,301,301,0.000%,3.32226,196.42,1.49
Launch-1716878401205,1,945,945,945,945,945,945,945,0.000%,1.05820,237.02,0.47
Login-1716878401234,1,285,285,285,285,285,285,285,0.000%,3.50877,3.97,3.79
Launch-1716878401449,1,244,244,244,244,244,244,244,0.000%,4.09836,193.19,1.82
Login-1716878401580,1,344,344,344,344,344,344,344,0.000%,2.90698,4.39,3.15
Launch-1716878401707,1,256,256,256,256,256,256,256,0.000%,3.90625,351.58,1.72
Launch-1716878402088,1,380,380,380,380,380,380,380,0.000%,2.63158,155.57,1.18
Login-1716878402392,1,303,303,303,303,303,303,303,0.000%,3.30033,3.74,3.57
Login-1716878402672,1,278,278,278,278,278,278,278,0.000%,3.59712,5.43,3.89
clickon speakers-1716878403754,1,1047,1047,1047,1047,1047,1047,1047,0.000%,.95511,2.25,0.43
clickon speakers-1716878404237,1,481,481,481,481,481,481,481,0.000%,2.07900,2.00,0.91
clickon speakers-1716878404480,1,241,241,241,241,241,241,241,0.000%,4.14938,4.68,1.68
clickon speakers-1716878404695,1,987,987,987,987,987,987,987,0.000%,1.01317,2.39,0.46
clickon speakers-1716878405166,1,468,468,468,468,468,468,468,0.000%,2.13675,2.05,0.93
clickon speakers-1716878405192,1,711,711,711,711,711,711,711,0.000%,1.40647,68.86,0.62
clickon speakers-1716878405407,1,239,239,239,239,239,239,239,0.000%,4.18410,4.72,1.69
clickon speakers-1716878405448,1,255,255,255,255,255,255,255,0.000%,3.92157,180.82,1.73
clickon speakers-1716878405737,1,287,287,287,287,287,287,287,0.000%,3.48432,245.64,1.54
clickon speakers-1716878405759,1,1052,1052,1052,1052,1052,1052,1052,0.000%,.95057,2.24,0.43
clickon speakers-1716878406008,1,270,270,270,270,270,270,270,0.000%,3.70370,196.98,1.63
