Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch-1716880146367,1,237,237,237,237,237,237,237,0.000%,4.21941,5.68,1.64
Login-1716880146436,1,314,314,314,314,314,314,314,0.000%,3.18471,1.93,1.52
Launch-1716880146594,1,239,239,239,239,239,239,239,0.000%,4.18410,28.50,1.88
Launch-1716880146766,1,468,468,468,468,468,468,468,0.000%,2.13675,1.63,0.95
Launch-1716880146836,1,244,244,244,244,244,244,244,0.000%,4.09836,6.28,4.20
search-1716880146915,1,875,875,875,875,875,875,875,0.000%,1.14286,11.10,0.51
search-1716880146930,1,486,486,486,486,486,486,486,0.000%,2.05761,1.55,0.98
Login-1716880147072,1,307,307,307,307,307,307,307,0.000%,3.25733,4.91,3.52
Launch-1716880147088,1,690,690,690,690,690,690,690,0.000%,1.44928,4.77,0.68
Launch-1716880147323,2,351,228,474,474,474,228,474,0.000%,4.21941,13.62,1.72
Login-1716880147364,1,295,295,295,295,295,295,295,0.000%,3.38983,2.06,1.62
Launch-1716880147574,1,252,252,252,252,252,252,252,0.000%,3.96825,27.01,1.79
Launch-1716880147806,2,362,238,487,487,487,238,487,0.000%,4.08163,4.69,3.00
search-1716880147853,1,493,493,493,493,493,493,493,0.000%,2.02840,1.53,0.97
search-1716880147865,1,936,936,936,936,936,936,936,0.000%,1.06838,10.33,0.48
search-1716880147868,1,941,941,941,941,941,941,941,0.000%,1.06270,10.26,0.46
Login-1716880148088,1,287,287,287,287,287,287,287,0.000%,3.48432,5.26,3.77
Launch-1716880148292,1,478,478,478,478,478,478,478,0.000%,2.09205,10.72,0.89
search-1716880148354,1,489,489,489,489,489,489,489,0.000%,2.04499,1.54,0.95
Login-1716880148418,1,324,324,324,324,324,324,324,0.000%,3.08642,1.87,1.47
Launch-1716880148786,1,491,491,491,491,491,491,491,0.000%,2.03666,1.56,0.90
search-1716880148806,1,950,950,950,950,950,950,950,0.000%,1.05263,10.17,0.47
search-1716880148821,1,466,466,466,466,466,466,466,0.000%,2.14592,61.57,0.95
search-1716880148837,1,971,971,971,971,971,971,971,0.000%,1.02987,9.98,0.45
search-1716880148916,1,499,499,499,499,499,499,499,0.000%,2.00401,1.51,0.96
Login-1716880149089,1,310,310,310,310,310,310,310,0.000%,3.22581,4.87,3.49
search-1716880149293,1,467,467,467,467,467,467,467,0.000%,2.14133,95.90,0.95
